"Footprint","Part Value","LCSC Part"
"Allegro_QFN-12-10-1EP_3x3mm_P0.5mm","ACS711xEXLT-15AB","C146412"
"C_0402_1005Metric","1u","C52923"
"C_0402_1005Metric","0.1u","C52923"
"C_0603_1608Metric","22uF","C59461"
"C_0805_2012Metric","22uF","C45783"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0.47uF","C13967"
"C_1206_3216Metric","10u","C13585"
"C_1206_3216Metric","10uF","C13585"
"C_Elec_10x10.2","470u","C3350"
"LED_0603_1608Metric","LED","C2290"
"LED_0805_2012Metric","BLUE","C2297"
"LED_0805_2012Metric","RED","C84256"
"LED_0805_2012Metric","LED","C2290"
"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","WS2812B","C2761795"
"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","STM32G431CBUx","C529356"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","22","C25092"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","10k","C25744"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4.7k","C25900"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","120","C25079"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1.5k","C25867"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","22k","C25768"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2.2k","C25879"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","5m","C912931"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2.4k","C25879"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1k","C11702"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","660","C25177"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","68k","C137947"
"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","5m","C912931"
"SOIC-8_3.9x4.9mm_P1.27mm","L6387","C234211"
"SOP-J8","BD4104","C2937651"
"SOT-223-3_TabPin2","AMS1117-3.3","C6186"
"SOT-223-3_TabPin2","AMS1117-5.0","C6187"
"SOT-223-3_TabPin2","LM2937xMP","C127023"
"VSONP-8-1EP_5x6_P1.27mm","RH6L040BGTB1","C49384064"
