Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C17, C21, C3, C33, C34, C35, C36, C37, C38, C5, C9",0402,13,1u,
"C11, C12, C13, C14, C15, C18, C2, C22, C32, C4, C6, C7, C8",0402,13,0.1u,
"C16, C19, C20",1206,3,10u,
"C25, C29",1206,2,10uF,
"C26, C30",0805,2,22uF,C45783
C27,0805,1,0.47uF,
C28,0603,1,22uF,C59461
C31,C_Elec_10x10.2,1,470u,
"D1, D11, D2, D4, D6, D9",0805,6,BLUE,
"D10, D12, D3, D5, D7, D8",0805,6,RED,
D13,0603,1,LED,
D14,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2761795
"D15, D16, D17",0805,3,LED,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",VSONP-8-1EP_5x6_P1.27mm,12,RH6L040BGTB1,
"R1, R2",0402,2,22,C25092
"R10, R17, R18, R19, R20, R27, R28, R33, R34, R9",0402,10,10k,
"R13, R14, R15, R16, R25, R26, R31, R32, R7, R8",0402,10,22,
"R3, R4",0402,2,10k,C25744
"R37, R56",0402,2,4.7k,C25900
"R38, R39, R40, R41, R42",0402,5,4.7k,
R43,0402,1,120,C25079
R44,2010,1,5m,C912931
R45,2010,1,5m,
R46,0402,1,1.5k,C25867
"R47, R52",0402,2,1.5k,
R48,0402,1,22k,C25768
"R49, R54",0402,2,22k,
R50,0402,1,2.2k,C25879
R51,0402,1,5m,
"R53, R55",0402,2,2.2k,
R57,0402,1,2.4k,
R58,0402,1,1k,C11702
R59,0402,1,660,C25177
"U1, U2, U3, U4, U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,6,L6387,
U10,SOP-J8,1,BD4104,
U11,SOT-223-3_TabPin2,1,AMS1117-5.0,
"U12, U8, U9",Allegro_QFN-12-10-1EP_3x3mm_P0.5mm,3,ACS711xEXLT-15AB,
U13,SOT-223-3_TabPin2,1,LM2937xMP,
U19,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,
