Designator,Mid X,Mid Y,Rotation,Layer
C1,138.8432,-70.8452,0.0,top
C10,138.8432,-48.4252,0.0,top
C11,138.8432,-28.5152,0.0,top
C12,138.8432,-50.9352,0.0,top
C13,159.432,-57.273038,0.0,top
C14,155.182,-60.573038,0.0,top
C15,159.432,-53.623038,0.0,top
C16,155.182,-53.623038,0.0,top
C17,83.7832,-78.8252,0.0,top
C18,83.7832,-81.3352,0.0,top
C19,149.6586,-53.2638,0.0,top
C2,138.8432,-73.3552,0.0,top
C20,151.6144,-58.928,0.0,top
C21,102.1332,-78.8252,0.0,top
C22,102.1332,-81.3352,0.0,top
C25,98.3832,-48.6552,0.0,top
C26,98.3832,-51.1652,0.0,top
C27,98.3832,-53.6752,0.0,top
C28,98.3832,-56.1852,0.0,top
C29,102.3932,-48.6552,0.0,top
C3,54.655,-72.6948,0.0,top
C30,102.3932,-51.1652,0.0,top
C31,77.0532,-57.7952,180.0,top
C32,77.0532,-69.6452,0.0,top
C33,102.3932,-53.6752,0.0,top
C34,102.3932,-56.1852,0.0,top
C35,106.4032,-48.6552,0.0,top
C36,106.4032,-51.1652,0.0,top
C37,106.4032,-53.6752,0.0,top
C38,106.4032,-56.1852,0.0,top
C4,163.682,-57.273038,0.0,top
C5,120.4832,-78.8252,0.0,top
C6,120.4832,-81.3352,0.0,top
C7,163.682,-53.623038,0.0,top
C8,159.432,-60.923038,0.0,top
C9,138.8432,-26.0052,0.0,top
D1,145.0332,-28.5552,0.0,top
D10,145.0332,-63.2552,0.0,top
D11,145.0332,-83.0852,0.0,top
D12,145.0332,-85.6752,0.0,top
D13,93.1732,-51.0152,0.0,top
D14,90.5882,-65.2802,0.0,top
D15,93.1732,-53.6052,0.0,top
D16,93.1732,-56.1952,0.0,top
D17,93.1732,-58.7852,0.0,top
D2,145.0332,-38.2452,0.0,top
D3,145.0332,-40.8352,0.0,top
D4,145.0332,-50.9752,0.0,top
D5,145.0332,-53.5652,0.0,top
D6,145.0332,-73.3952,0.0,top
D7,145.0332,-75.9852,0.0,top
D8,145.0332,-31.1452,0.0,top
D9,145.0332,-60.6652,0.0,top
J13,116.3632,-41.2452,0.0,top
Q1,132.9132,-73.029119,0.0,top
Q10,77.8532,-87.673038,0.0,top
Q11,96.2032,-81.009119,0.0,top
Q12,96.2032,-87.673038,0.0,top
Q2,132.9132,-79.693038,0.0,top
Q3,114.5532,-81.009119,0.0,top
Q4,114.5532,-87.673038,0.0,top
Q5,132.9132,-50.609119,0.0,top
Q6,132.9132,-57.273038,0.0,top
Q7,132.9132,-28.189119,0.0,top
Q8,132.9132,-34.853038,0.0,top
Q9,77.8532,-81.009119,0.0,top
R1,126.8132,-70.8452,0.0,top
R10,108.4532,-86.3552,0.0,top
R13,126.8132,-26.0052,0.0,top
R14,126.8132,-28.5152,0.0,top
R15,126.8132,-48.4252,0.0,top
R16,126.8132,-50.9352,0.0,top
R17,126.8132,-31.0252,0.0,top
R18,126.8132,-53.4452,0.0,top
R19,126.8132,-33.5352,0.0,top
R2,126.8132,-73.3552,0.0,top
R20,126.8132,-55.9552,0.0,top
R25,71.7532,-78.8252,0.0,top
R26,71.7532,-81.3352,0.0,top
R27,71.7532,-83.8452,0.0,top
R28,71.7532,-86.3552,0.0,top
R3,126.8132,-75.8652,0.0,top
R31,90.1032,-78.8252,0.0,top
R32,90.1032,-81.3352,0.0,top
R33,90.1032,-83.8452,0.0,top
R34,90.1032,-86.3552,0.0,top
R37,145.1632,-35.6952,0.0,top
R38,145.1632,-48.4252,0.0,top
R39,145.1632,-70.8452,0.0,top
R4,126.8132,-78.3752,0.0,top
R40,145.1632,-26.0052,0.0,top
R41,145.1632,-58.1152,0.0,top
R42,145.1632,-80.5352,0.0,top
R43,98.5532,-26.0052,0.0,top
R44,100.2532,-64.8552,0.0,top
R45,100.2532,-69.0652,0.0,top
R46,98.5532,-28.5152,0.0,top
R47,98.5532,-31.0252,0.0,top
R48,98.5532,-33.5352,0.0,top
R49,98.5532,-36.0452,0.0,top
R50,102.9032,-26.0052,0.0,top
R51,100.2532,-73.2752,0.0,top
R52,102.9032,-28.5152,0.0,top
R53,102.9032,-31.0252,0.0,top
R54,102.9032,-33.5352,0.0,top
R55,102.9032,-36.0452,0.0,top
R56,107.2532,-26.0052,0.0,top
R57,107.2532,-28.5152,0.0,top
R58,107.2532,-31.0252,0.0,top
R59,107.2532,-33.5352,0.0,top
R7,108.4532,-78.8252,0.0,top
R8,108.4532,-81.3352,0.0,top
R9,108.4532,-83.8452,0.0,top
U1,133.2132,-86.2652,270.0,top
U10,90.4044,-71.8688,270.0,top
U11,91.4532,-37.2752,180.0,top
U12,109.5532,-60.0952,0.0,top
U13,91.4532,-45.6002,180.0,top
U19,117.9832,-67.4052,90.0,top
U2,114.8532,-94.2452,270.0,top
U3,133.2132,-41.4252,270.0,top
U4,133.2132,-63.8452,270.0,top
U5,78.1532,-94.2452,270.0,top
U6,96.5032,-94.2452,270.0,top
U7,91.4532,-28.9502,180.0,top
U8,99.0132,-60.0952,0.0,top
U9,104.2832,-60.0952,0.0,top
